split,family,seed,transformation,state,orbit_size,stabilizer_size,equivalence_class,context_signal,target_probability,binary_target
calibration,ring,7102,pure_gauge,5,2,4,trivial,0.706058947117,0.329096897468,1
calibration,ring,7102,nontrivial_flux,5,2,4,flux,0.768275985795,0.735560757783,1
calibration,ring,7102,orientation_reversal,5,2,4,orientation,0.841393996341,0.559878429849,1
calibration,ring,7102,identity,6,3,2,trivial,0.672651423007,0.362202062921,0
calibration,ring,7102,pure_gauge,6,3,2,trivial,0.769381002511,0.396813400226,1
calibration,ring,7102,nontrivial_flux,6,3,2,flux,0.832315219721,0.711928537799,1
calibration,ring,7102,orientation_reversal,6,3,2,orientation,0.894498797225,0.428163325782,1
calibration,ring,7102,identity,7,4,2,trivial,0.728387231799,0.442321720855,1
calibration,ring,7102,pure_gauge,7,4,2,trivial,0.81073684709,0.581048431309,0
calibration,ring,7102,nontrivial_flux,7,4,2,flux,0.875361042361,0.88719187428,1
calibration,ring,7102,orientation_reversal,7,4,2,orientation,0.946265413081,0.782453174547,1
calibration,ring,7103,identity,0,1,8,trivial,0.381223168678,0.0682738178929,0
calibration,ring,7103,pure_gauge,0,1,8,trivial,0.458581794146,0.0782436104432,0
calibration,ring,7103,nontrivial_flux,0,1,8,flux,0.515650282932,0.241783844718,0
calibration,ring,7103,orientation_reversal,0,1,8,orientation,0.591469585223,0.0881012667869,0
calibration,ring,7103,identity,1,2,4,trivial,0.424265130831,0.179991527695,0
calibration,ring,7103,pure_gauge,1,2,4,trivial,0.515963059696,0.27736270784,0
calibration,ring,7103,nontrivial_flux,1,2,4,flux,0.566272253211,0.685186951303,1
calibration,ring,7103,orientation_reversal,1,2,4,orientation,0.642637337439,0.498839955837,1
calibration,ring,7103,identity,2,3,2,trivial,0.478614214926,0.304487493117,1
calibration,ring,7103,pure_gauge,2,3,2,trivial,0.551639169297,0.336493424179,0
calibration,ring,7103,nontrivial_flux,2,3,2,flux,0.619062081423,0.655785615147,1
calibration,ring,7103,orientation_reversal,2,3,2,orientation,0.708097364526,0.365969191669,0
calibration,ring,7103,identity,3,4,2,trivial,0.534142673176,0.383401867172,0
calibration,ring,7103,pure_gauge,3,4,2,trivial,0.599285571401,0.52091023256,1
calibration,ring,7103,nontrivial_flux,3,4,2,flux,0.67567356441,0.86044415367,1
calibration,ring,7103,orientation_reversal,3,4,2,orientation,0.748391696669,0.738199416763,1
calibration,ring,7103,identity,4,1,8,trivial,0.596141663873,0.0875573084965,0
calibration,ring,7103,pure_gauge,4,1,8,trivial,0.662651081199,0.100040656243,0
calibration,ring,7103,nontrivial_flux,4,1,8,flux,0.713801771701,0.294579843298,1
calibration,ring,7103,orientation_reversal,4,1,8,orientation,0.78353985281,0.112309852427,0
calibration,ring,7103,identity,5,2,4,trivial,0.6359503872,0.217036626571,1
calibration,ring,7103,pure_gauge,5,2,4,trivial,0.706667002751,0.326469607389,0
calibration,ring,7103,nontrivial_flux,5,2,4,flux,0.776978545194,0.733234946205,0
calibration,ring,7103,orientation_reversal,5,2,4,orientation,0.848840366578,0.556938174092,1
calibration,ring,7103,identity,6,3,2,trivial,0.676716223213,0.356760887452,0
calibration,ring,7103,pure_gauge,6,3,2,trivial,0.759108833785,0.391171168639,0
calibration,ring,7103,nontrivial_flux,6,3,2,flux,0.830921899462,0.707057880321,1
calibration,ring,7103,orientation_reversal,6,3,2,orientation,0.880006944869,0.422387482118,0
calibration,ring,7103,identity,7,4,2,trivial,0.73499055655,0.434764839502,0
calibration,ring,7103,pure_gauge,7,4,2,trivial,0.811330084382,0.573559041918,1
calibration,ring,7103,nontrivial_flux,7,4,2,flux,0.865793022896,0.884083465611,1
calibration,ring,7103,orientation_reversal,7,4,2,orientation,0.935491202178,0.777183536307,0
holdout,grid,7101,identity,0,1,8,trivial,0.642599085614,0.233309716622,1
holdout,grid,7101,pure_gauge,0,1,8,trivial,0.707919016599,0.260637597992,0
holdout,grid,7101,nontrivial_flux,0,1,8,flux,0.760444438674,0.569760028896,1
holdout,grid,7101,orientation_reversal,0,1,8,orientation,0.830210154262,0.286336166491,1
holdout,grid,7101,identity,1,2,4,trivial,0.685718983782,0.466720694901,1
holdout,grid,7101,pure_gauge,1,2,4,trivial,0.742851942651,0.604800801652,0
holdout,grid,7101,nontrivial_flux,1,2,4,flux,0.83428396099,0.896674000631,1
holdout,grid,7101,orientation_reversal,1,2,4,orientation,0.892062526188,0.798742010688,1
holdout,grid,7101,identity,2,3,2,trivial,0.746117361194,0.640669367595,1
holdout,grid,7101,pure_gauge,2,3,2,trivial,0.807543695529,0.673779504607,1
holdout,grid,7101,nontrivial_flux,2,3,2,flux,0.888256450363,0.885832256587,0
holdout,grid,7101,orientation_reversal,2,3,2,orientation,0.935674229485,0.70156076198,1
holdout,grid,7101,identity,3,4,2,trivial,0.791701644917,0.718187980074,0
holdout,grid,7101,pure_gauge,3,4,2,trivial,0.869515218413,0.816724990786,1
holdout,grid,7101,nontrivial_flux,3,4,2,flux,0.913686007366,0.961933428547,1
holdout,grid,7101,orientation_reversal,3,4,2,orientation,1.0052905017,0.920360540937,0
holdout,grid,7101,identity,4,1,8,trivial,0.837825530545,0.282358552231,0
holdout,grid,7101,pure_gauge,4,1,8,trivial,0.915641910413,0.313085498894,1
holdout,grid,7101,nontrivial_flux,4,1,8,flux,0.97817873687,0.631299537351,0
holdout,grid,7101,orientation_reversal,4,1,8,orientation,1.03759443014,0.341566361735,0
holdout,grid,7101,identity,5,2,4,trivial,0.878007664943,0.536614100242,0
holdout,grid,7101,pure_gauge,5,2,4,trivial,0.956784297584,0.669415481542,1
holdout,grid,7101,nontrivial_flux,5,2,4,flux,1.01974644951,0.919888767157,1
holdout,grid,7101,orientation_reversal,5,2,4,orientation,1.09391049301,0.840034357744,1
holdout,grid,7101,identity,6,3,2,trivial,0.930955476068,0.700993130656,1
holdout,grid,7101,pure_gauge,6,3,2,trivial,1.01057380104,0.730879695682,1
holdout,grid,7101,nontrivial_flux,6,3,2,flux,1.06797464058,0.910733153194,1
holdout,grid,7101,orientation_reversal,6,3,2,orientation,1.1353712525,0.755562366268,1
holdout,grid,7101,identity,7,4,2,trivial,0.974349568777,0.76308848439,1
holdout,grid,7101,pure_gauge,7,4,2,trivial,1.05508033012,0.849221836561,1
holdout,grid,7101,nontrivial_flux,7,4,2,flux,1.13227846735,0.969640176778,1
holdout,grid,7101,orientation_reversal,7,4,2,orientation,1.20026042126,0.935923255296,1
holdout,grid,7102,identity,0,1,8,trivial,0.639400796193,0.23307807025,0
holdout,grid,7102,pure_gauge,0,1,8,trivial,0.696523265178,0.260388033662,0
holdout,grid,7102,nontrivial_flux,0,1,8,flux,0.765182131939,0.569442440434,0
holdout,grid,7102,orientation_reversal,0,1,8,orientation,0.843795142713,0.286071516164,0
holdout,grid,7102,identity,1,2,4,trivial,0.690596247905,0.47898266242,0
holdout,grid,7102,pure_gauge,1,2,4,trivial,0.749361430334,0.616496668798,1
holdout,grid,7102,nontrivial_flux,1,2,4,flux,0.831167247942,0.901143813663,0
holdout,grid,7102,orientation_reversal,1,2,4,orientation,0.907117923984,0.80653423731,1
holdout,grid,7102,identity,2,3,2,trivial,0.720284827891,0.647389558441,0
holdout,grid,7102,pure_gauge,2,3,2,trivial,0.812437430842,0.68018957634,0
holdout,grid,7102,nontrivial_flux,2,3,2,flux,0.862522866657,0.888763496058,1
holdout,grid,7102,orientation_reversal,2,3,2,orientation,0.957316467984,0.707661794591,0
holdout,grid,7102,identity,3,4,2,trivial,0.774547673041,0.712987605149,1
holdout,grid,7102,pure_gauge,3,4,2,trivial,0.855728128201,0.812869168013,1
holdout,grid,7102,nontrivial_flux,3,4,2,flux,0.939253494744,0.960986637213,1
holdout,grid,7102,orientation_reversal,3,4,2,orientation,0.986954365139,0.918467390152,1
holdout,grid,7102,identity,4,1,8,trivial,0.847679800062,0.288950599793,1
holdout,grid,7102,pure_gauge,4,1,8,trivial,0.911213283818,0.320074958522,0
holdout,grid,7102,nontrivial_flux,4,1,8,flux,0.969670528695,0.638786726136,1
holdout,grid,7102,orientation_reversal,4,1,8,orientation,1.0498698114,0.348868722127,0
holdout,grid,7102,identity,5,2,4,trivial,0.887610447311,0.535109296308,1
holdout,grid,7102,pure_gauge,5,2,4,trivial,0.949203867285,0.668075180188,1
holdout,grid,7102,nontrivial_flux,5,2,4,flux,1.02733745968,0.919441762293,1
holdout,grid,7102,orientation_reversal,5,2,4,orientation,1.08789409128,0.839219659143,1
holdout,grid,7102,identity,6,3,2,trivial,0.945079349689,0.699715912128,0
holdout,grid,7102,pure_gauge,6,3,2,trivial,1.01733162518,0.72968090946,0
holdout,grid,7102,nontrivial_flux,6,3,2,flux,1.08734759904,0.910237124234,1
holdout,grid,7102,orientation_reversal,6,3,2,orientation,1.13652728208,0.754436587363,1
holdout,grid,7102,identity,7,4,2,trivial,0.973980181503,0.764951393144,1
holdout,grid,7102,pure_gauge,7,4,2,trivial,1.05399147664,0.850540107928,1
holdout,grid,7102,nontrivial_flux,7,4,2,flux,1.13835182612,0.969942879949,1
holdout,grid,7102,orientation_reversal,7,4,2,orientation,1.19115271168,0.93654013205,1
holdout,grid,7103,identity,0,1,8,trivial,0.620099268251,0.231164417861,0
holdout,grid,7103,pure_gauge,0,1,8,trivial,0.693305861828,0.258325683402,1
holdout,grid,7103,nontrivial_flux,0,1,8,flux,0.77169188573,0.566808182845,0
holdout,grid,7103,orientation_reversal,0,1,8,orientation,0.858937030824,0.283883823727,0
holdout,grid,7103,identity,1,2,4,trivial,0.681552070049,0.473863797749,1
holdout,grid,7103,pure_gauge,1,2,4,trivial,0.768879240662,0.611633399979,0
holdout,grid,7103,nontrivial_flux,1,2,4,flux,0.812753836832,0.899300595779,0
holdout,grid,7103,orientation_reversal,1,2,4,orientation,0.88102439299,0.803312008908,1
holdout,grid,7103,identity,2,3,2,trivial,0.722495687055,0.642388423195,0
holdout,grid,7103,pure_gauge,2,3,2,trivial,0.807645102,0.675420409457,0
holdout,grid,7103,nontrivial_flux,2,3,2,flux,0.867983692849,0.886586067282,1
holdout,grid,7103,orientation_reversal,2,3,2,orientation,0.954584009792,0.703123497597,1
holdout,grid,7103,identity,3,4,2,trivial,0.772150560588,0.718418616728,1
holdout,grid,7103,pure_gauge,3,4,2,trivial,0.848666460264,0.816895544435,1
holdout,grid,7103,nontrivial_flux,3,4,2,flux,0.923984871733,0.961975144182,1
holdout,grid,7103,orientation_reversal,3,4,2,orientation,0.99147516487,0.920444046793,1
holdout,grid,7103,identity,4,1,8,trivial,0.845912090263,0.282505545024,0
holdout,grid,7103,pure_gauge,4,1,8,trivial,0.911605837025,0.313241505697,0
holdout,grid,7103,nontrivial_flux,4,1,8,flux,0.963596700414,0.631468342938,0
holdout,grid,7103,orientation_reversal,4,1,8,orientation,1.0348805482,0.341729500073,0
holdout,grid,7103,identity,5,2,4,trivial,0.889197166853,0.532141844049,1
holdout,grid,7103,pure_gauge,5,2,4,trivial,0.962109595891,0.665425796671,1
holdout,grid,7103,nontrivial_flux,5,2,4,flux,1.01439721403,0.918554156368,0
holdout,grid,7103,orientation_reversal,5,2,4,orientation,1.09490175367,0.837604269493,1
holdout,grid,7103,identity,6,3,2,trivial,0.945364979161,0.694727307618,1
holdout,grid,7103,pure_gauge,6,3,2,trivial,0.993426002083,0.724994461572,1
holdout,grid,7103,nontrivial_flux,6,3,2,flux,1.08948628785,0.908287492984,1
holdout,grid,7103,orientation_reversal,6,3,2,orientation,1.13241898166,0.750032296319,0
holdout,grid,7103,identity,7,4,2,trivial,0.978606018587,0.759388176507,1
holdout,grid,7103,pure_gauge,7,4,2,trivial,1.05497707219,0.846596392789,0
holdout,grid,7103,nontrivial_flux,7,4,2,flux,1.11760393846,0.969035077555,1
holdout,grid,7103,orientation_reversal,7,4,2,orientation,1.20867198344,0.93469140892,1
