split,family,seed,transformation,distance_true,distance_predicted,orientation_true,orientation_predicted,transform_true,transform_predicted,relation_true,relation_predicted,fiedler_sign_stability,fiedler_variant_gap,fiedler_variant_agreement,cheeger_conductance
calibration,grid,2102,reflection,0.826928702458,1.31320986246,0,0,reflection,reflection,0,0,0.1111111111111111,0.11543018649283977,0.0,0.44331795622950043
calibration,grid,2102,scale_shift,0.909621572704,1.51020892554,1,1,scale_shift,scale_shift,0,0,0.2222222222222222,0.11380654837917582,0.0,0.3729127216490849
calibration,grid,2103,identity,0.831086198195,1.32242500041,1,1,identity,identity,0,0,0.7777777777777778,0.23491537706551313,0.0,0.4297771194672119
calibration,grid,2103,rotation,0.831086198195,1.32242500041,1,1,rotation,rotation,0,0,0.0,0.23491537706551283,0.0,0.4297771194672119
calibration,grid,2103,reflection,0.831086198195,1.32242500041,0,0,reflection,reflection,0,0,1.0,0.234915377065513,0.0,0.4297771194672119
calibration,grid,2103,scale_shift,0.914194818014,1.46361271295,1,1,scale_shift,scale_shift,0,0,1.0,0.01428073244893832,0.0,0.3869586947967668
calibration,grid,2104,identity,0.827544068182,1.30236870196,1,1,identity,identity,0,0,1.0,0.11373879856266954,0.0,0.43941150395902373
calibration,grid,2104,rotation,0.827544068182,1.30236870196,1,1,rotation,rotation,0,0,0.7777777777777778,0.11373879856266955,0.0,0.43941150395902373
calibration,grid,2104,reflection,0.827544068182,1.30236870196,0,0,reflection,reflection,0,0,0.1111111111111111,0.11373879856266962,0.0,0.4394115039590238
calibration,grid,2104,scale_shift,0.910298475,1.49620875225,1,1,scale_shift,scale_shift,0,0,0.3333333333333333,0.11386839880895301,0.0,0.38325333183624494
holdout,spiral,2101,identity,0.97290487065,1.60833206439,1,1,identity,identity,0,0,1.0,0.4601787395740477,0.0,0.3083159776782134
holdout,spiral,2101,rotation,0.97290487065,1.60833206439,1,1,rotation,rotation,0,0,1.0,0.46017873957404754,0.0,0.30831597767821345
holdout,spiral,2101,reflection,0.97290487065,1.60833206439,0,0,reflection,reflection,0,0,0.0,0.446563313924927,0.0,0.3083159776782134
holdout,spiral,2101,scale_shift,1.07019535771,1.75523973549,1,1,scale_shift,scale_shift,0,0,1.0,0.3623741154031646,0.0,0.2537970693282416
holdout,spiral,2102,identity,0.971742013634,1.52934476883,1,1,identity,identity,0,0,0.0,0.4239064495999423,0.0,0.3801931356520856
holdout,spiral,2102,rotation,0.971742013634,1.52934476883,1,1,rotation,rotation,0,0,0.0,0.40908556439953053,0.0,0.38019313565208557
holdout,spiral,2102,reflection,0.971742013634,1.52934476883,0,0,reflection,reflection,0,0,0.1111111111111111,0.409085564399531,0.0,0.38019313565208557
holdout,spiral,2102,scale_shift,1.068916215,1.75753620161,1,1,scale_shift,scale_shift,0,0,1.0,0.3819833245655858,0.0,0.24978303799184445
holdout,spiral,2103,identity,0.966662561035,1.42650704875,1,1,identity,identity,0,0,0.1111111111111111,0.2831004066865839,0.0,0.2958625232023302
holdout,spiral,2103,rotation,0.966662561035,1.42650704875,1,1,rotation,rotation,0,0,0.8888888888888888,0.28310040668658454,0.0,0.29586252320233003
holdout,spiral,2103,reflection,0.966662561035,1.42650704875,0,0,reflection,reflection,0,0,0.8888888888888888,0.2831004066865845,0.0,0.29586252320233014
holdout,spiral,2103,scale_shift,1.06332881714,1.78364605731,1,1,scale_shift,scale_shift,0,0,0.1111111111111111,0.3938824303196103,0.0,0.20040432869835026
holdout,spiral,2104,identity,0.969516091869,1.50875841954,1,1,identity,identity,0,0,0.1111111111111111,0.41037602524571004,0.0,0.33859547028157627
holdout,spiral,2104,rotation,0.969516091869,1.50875841954,1,1,rotation,rotation,0,0,1.0,0.4532609834670362,0.0,0.33859547028157627
holdout,spiral,2104,reflection,0.969516091869,1.50875841954,0,0,reflection,reflection,0,0,0.8888888888888888,0.41037602524570954,0.0,0.33859547028157627
holdout,spiral,2104,scale_shift,1.06646770106,1.78532044564,1,1,scale_shift,scale_shift,0,0,0.1111111111111111,0.38404483637107406,0.0,0.20650744803006302
