left_observation_id,right_observation_id,component,value,availability,normalization_method,source_fields,warnings
obs_c21d789f14a613fc6b0083e2,obs_46ade388243f3a4581ba4489,d_spec,0.4112613506945282,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_46ade388243f3a4581ba4489,d_struct,0.33333333333333337,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_46ade388243f3a4581ba4489,d_time,0.1549509013605442,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_8de73c59341ac382087fba03,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_8de73c59341ac382087fba03,d_causal,0.02545647245432595,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_8de73c59341ac382087fba03,d_inv,0.1397565904716432,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_8de73c59341ac382087fba03,d_spec,0.2291848758615446,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_8de73c59341ac382087fba03,d_struct,0.5454545454545454,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_8de73c59341ac382087fba03,d_time,0.039493605442176866,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_4b958084812d6435763f9a05,d_addr,0.25,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_4b958084812d6435763f9a05,d_causal,0.15941013749198124,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_4b958084812d6435763f9a05,d_inv,0.27745854849837354,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_4b958084812d6435763f9a05,d_spec,0.5259720947326688,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_4b958084812d6435763f9a05,d_struct,0.4621212121212121,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_4b958084812d6435763f9a05,d_time,0.06311413265306122,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_ea0aca853f3046642f451b7d,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_ea0aca853f3046642f451b7d,d_causal,0.02545647245432595,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_ea0aca853f3046642f451b7d,d_inv,0.37896869939480493,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_ea0aca853f3046642f451b7d,d_spec,0.5348597205040589,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_ea0aca853f3046642f451b7d,d_struct,0.5454545454545454,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_ea0aca853f3046642f451b7d,d_time,0.16855634353741494,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_1163ec91dc845e4ed94d462a,d_addr,0.25,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_1163ec91dc845e4ed94d462a,d_causal,0.15941013749198124,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_1163ec91dc845e4ed94d462a,d_inv,0.374220788173852,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_1163ec91dc845e4ed94d462a,d_spec,0.46801457965519483,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_1163ec91dc845e4ed94d462a,d_struct,0.5454545454545454,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_1163ec91dc845e4ed94d462a,d_time,0.17819353741496596,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_d6eeaa59b08b0f1c4897f8db,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_d6eeaa59b08b0f1c4897f8db,d_causal,0.0055528219394489365,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_d6eeaa59b08b0f1c4897f8db,d_inv,0.2054366130179671,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_d6eeaa59b08b0f1c4897f8db,d_spec,0.5474893040942691,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_d6eeaa59b08b0f1c4897f8db,d_struct,0.0,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_d6eeaa59b08b0f1c4897f8db,d_time,0.011337891156462583,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_86701919f4db014d1d236f54,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_86701919f4db014d1d236f54,d_causal,0.032098574238200436,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_86701919f4db014d1d236f54,d_inv,0.1538712292081242,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_86701919f4db014d1d236f54,d_spec,0.2883027873960378,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_86701919f4db014d1d236f54,d_struct,0.5454545454545454,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_86701919f4db014d1d236f54,d_time,0.041761173469387756,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_8c347ec96417e5677cdb8ad0,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_8c347ec96417e5677cdb8ad0,d_causal,0.0055528219394489365,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_8c347ec96417e5677cdb8ad0,d_inv,0.38708120417031666,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_8c347ec96417e5677cdb8ad0,d_spec,0.5836290020345049,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_8c347ec96417e5677cdb8ad0,d_struct,0.33333333333333337,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_8c347ec96417e5677cdb8ad0,d_time,0.16855634353741494,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_624a249c44d428f10aa73463,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_624a249c44d428f10aa73463,d_causal,0.032098574238200436,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_624a249c44d428f10aa73463,d_inv,0.38186229302695723,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_624a249c44d428f10aa73463,d_spec,0.5188578911879079,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_624a249c44d428f10aa73463,d_struct,0.5454545454545454,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_624a249c44d428f10aa73463,d_time,0.17819353741496596,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_e43b79a2ef68469ae989ae1e,d_addr,0.3333333333333333,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_e43b79a2ef68469ae989ae1e,d_causal,0.0,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_e43b79a2ef68469ae989ae1e,d_inv,0.0,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_e43b79a2ef68469ae989ae1e,d_spec,0.0,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_e43b79a2ef68469ae989ae1e,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_e43b79a2ef68469ae989ae1e,d_time,0.21428571428571427,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_c887eb3bf0ab4011d4084e3a,d_addr,0.3333333333333333,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_c887eb3bf0ab4011d4084e3a,d_causal,0.0,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_c887eb3bf0ab4011d4084e3a,d_inv,0.3770421455678638,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_c887eb3bf0ab4011d4084e3a,d_spec,0.47727968175725527,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_c887eb3bf0ab4011d4084e3a,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_c887eb3bf0ab4011d4084e3a,d_time,0.3210506802721088,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_57e35110e54898bdbe032c98,d_addr,0.3333333333333333,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_57e35110e54898bdbe032c98,d_causal,0.02545647245432595,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_57e35110e54898bdbe032c98,d_inv,0.1397565904716432,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_57e35110e54898bdbe032c98,d_spec,0.2291848758615446,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_57e35110e54898bdbe032c98,d_struct,0.6121212121212121,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_57e35110e54898bdbe032c98,d_time,0.22996979591836733,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_2d439625692f7d83d54dd8c5,d_addr,0.3333333333333333,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_2d439625692f7d83d54dd8c5,d_causal,0.02545647245432595,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_2d439625692f7d83d54dd8c5,d_inv,0.37896869939480493,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_2d439625692f7d83d54dd8c5,d_spec,0.5348597205040589,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_2d439625692f7d83d54dd8c5,d_struct,0.6121212121212121,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_2d439625692f7d83d54dd8c5,d_time,0.3114134863945578,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_ee93d740f305035b42ac22c5,d_addr,0.3333333333333333,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_ee93d740f305035b42ac22c5,d_causal,0.0055528219394489365,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_ee93d740f305035b42ac22c5,d_inv,0.2054366130179671,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_ee93d740f305035b42ac22c5,d_spec,0.5474893040942691,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_ee93d740f305035b42ac22c5,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_ee93d740f305035b42ac22c5,d_time,0.22562360544217686,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_590502ed80ee4f9526a00243,d_addr,0.3333333333333333,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_590502ed80ee4f9526a00243,d_causal,0.0055528219394489365,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_590502ed80ee4f9526a00243,d_inv,0.38708120417031666,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_590502ed80ee4f9526a00243,d_spec,0.5836290020345049,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_590502ed80ee4f9526a00243,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_590502ed80ee4f9526a00243,d_time,0.3114134863945578,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_cd8cd88cb9618af0705bbf06,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_cd8cd88cb9618af0705bbf06,d_causal,0.0,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_cd8cd88cb9618af0705bbf06,d_inv,0.0,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_cd8cd88cb9618af0705bbf06,d_spec,0.0,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_cd8cd88cb9618af0705bbf06,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_cd8cd88cb9618af0705bbf06,d_time,0.21428571428571427,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_448f4e11eb5a27dd4f60b644,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_448f4e11eb5a27dd4f60b644,d_causal,0.0,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_448f4e11eb5a27dd4f60b644,d_inv,0.3770421455678638,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_448f4e11eb5a27dd4f60b644,d_spec,0.47727968175725527,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_448f4e11eb5a27dd4f60b644,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_448f4e11eb5a27dd4f60b644,d_time,0.3210506802721088,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_fa7bd1db2d6a1d5f66733a16,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_fa7bd1db2d6a1d5f66733a16,d_causal,0.02545647245432595,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_fa7bd1db2d6a1d5f66733a16,d_inv,0.1397565904716432,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_fa7bd1db2d6a1d5f66733a16,d_spec,0.2291848758615446,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_fa7bd1db2d6a1d5f66733a16,d_struct,0.6121212121212121,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_fa7bd1db2d6a1d5f66733a16,d_time,0.22996979591836733,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_3f3cbf5fee77e89478120a3b,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f3cbf5fee77e89478120a3b,d_causal,0.02545647245432595,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f3cbf5fee77e89478120a3b,d_inv,0.37896869939480493,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f3cbf5fee77e89478120a3b,d_spec,0.5348597205040589,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f3cbf5fee77e89478120a3b,d_struct,0.6121212121212121,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_3f3cbf5fee77e89478120a3b,d_time,0.3114134863945578,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_ddbc298f7c4df1aede53d5d6,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_ddbc298f7c4df1aede53d5d6,d_causal,0.0055528219394489365,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_ddbc298f7c4df1aede53d5d6,d_inv,0.2054366130179671,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_ddbc298f7c4df1aede53d5d6,d_spec,0.5474893040942691,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_ddbc298f7c4df1aede53d5d6,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_ddbc298f7c4df1aede53d5d6,d_time,0.22562360544217686,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_3f2760e857afefe81bf772fe,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f2760e857afefe81bf772fe,d_causal,0.0055528219394489365,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f2760e857afefe81bf772fe,d_inv,0.38708120417031666,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f2760e857afefe81bf772fe,d_spec,0.5836290020345049,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_3f2760e857afefe81bf772fe,d_struct,0.4,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_3f2760e857afefe81bf772fe,d_time,0.3114134863945578,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_1aa1fc186c905e7ffa16d2d4,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_1aa1fc186c905e7ffa16d2d4,d_causal,0.16924251794059517,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_1aa1fc186c905e7ffa16d2d4,d_inv,0.16666666666666666,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_1aa1fc186c905e7ffa16d2d4,d_spec,0.3333333333333333,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_1aa1fc186c905e7ffa16d2d4,d_struct,0.5,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_1aa1fc186c905e7ffa16d2d4,d_time,0.2857142857142857,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_e9c8066d01dd67e1f9d375ef,d_addr,0.41666666666666663,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_e9c8066d01dd67e1f9d375ef,d_causal,0.16924251794059517,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_e9c8066d01dd67e1f9d375ef,d_inv,0.37003040113162605,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_e9c8066d01dd67e1f9d375ef,d_spec,0.34970478415821554,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
