seed,replacement_count,support,component_count,edge_count,edge_count_delta,edge_jaccard_distance_to_reference,false_positive
22,2,"[2,3,5,7,61,13,17,73,23,29,31,41,47,59,71]",5,45,12,0.408163265306,false
23,4,"[2,3,5,7,11,61,17,19,37,73,31,41,47,67,71]",4,38,5,0.660377358491,false
24,6,"[53,3,5,7,11,37,17,61,79,29,31,73,67,59,71]",3,38,5,0.796610169492,false
25,5,"[73,37,53,7,11,43,17,19,23,29,31,41,47,61,71]",3,30,3,0.811320754717,false
26,1,"[67,3,5,7,11,13,17,19,23,29,31,41,47,59,71]",3,28,5,0.257142857143,false
27,5,"[79,3,5,7,11,13,17,19,23,37,31,61,47,43,73]",3,32,1,0.7,false
28,7,"[2,3,5,53,11,67,43,19,61,29,31,73,47,79,37]",5,31,2,0.857142857143,false
29,6,"[2,43,73,7,11,67,17,37,61,29,31,79,47,59,71]",4,24,9,0.86,false
30,1,"[2,3,5,7,11,13,17,19,23,29,31,41,79,59,71]",3,34,1,0.0294117647059,false
31,3,"[61,67,73,7,11,13,17,19,23,29,31,41,47,59,71]",3,26,7,0.688888888889,false
32,1,"[2,3,5,7,11,73,17,19,23,29,31,41,47,59,71]",4,32,1,0.333333333333,true
33,7,"[2,73,5,7,43,13,17,19,79,67,37,41,61,53,71]",4,44,11,0.758064516129,false
34,2,"[2,3,5,7,11,53,17,19,23,29,31,41,67,59,71]",2,34,1,0.365853658537,false
35,7,"[2,79,5,7,53,13,17,19,61,67,43,41,47,73,37]",5,43,10,0.754098360656,false
36,5,"[37,3,73,79,11,13,53,19,23,29,31,43,47,59,71]",4,21,12,0.851063829787,false
37,5,"[43,3,37,7,61,13,17,53,23,79,31,41,47,59,71]",5,29,4,0.78431372549,false
38,1,"[2,3,5,7,61,13,17,19,23,29,31,41,47,59,71]",5,38,5,0.268292682927,false
39,3,"[2,3,5,7,43,13,17,19,23,29,31,53,47,61,71]",4,38,5,0.520833333333,false
40,2,"[2,3,5,61,79,13,17,19,23,29,31,41,47,59,71]",5,31,2,0.439024390244,false
41,2,"[37,3,5,7,67,13,17,19,23,29,31,41,47,59,71]",4,31,2,0.439024390244,true
42,3,"[43,3,5,7,11,13,17,19,23,29,61,67,47,59,71]",3,28,5,0.547619047619,false
43,7,"[67,3,43,7,11,79,73,19,61,29,31,41,53,37,71]",4,30,3,0.833333333333,false
44,4,"[79,3,5,7,43,13,67,19,37,29,31,41,47,59,71]",5,24,9,0.642857142857,false
45,5,"[37,67,43,79,11,13,17,19,53,29,31,41,47,59,71]",5,20,13,0.847826086957,false
46,2,"[2,3,5,7,79,13,17,19,23,29,61,41,47,59,71]",5,38,5,0.309523809524,false
47,5,"[2,3,5,7,67,13,17,19,79,73,31,41,37,59,61]",5,44,11,0.625,false
48,2,"[2,3,5,7,11,13,17,19,23,29,37,41,43,59,71]",4,39,6,0.2,false
49,1,"[2,3,5,7,11,13,17,19,23,29,31,41,47,59,79]",4,33,0,0,true
50,2,"[2,79,5,7,11,13,17,19,23,29,31,41,47,59,73]",4,31,2,0.358974358974,true
51,5,"[2,3,5,7,11,13,17,61,23,53,43,67,47,59,37]",4,38,5,0.685185185185,false
52,4,"[2,3,5,7,79,73,17,53,23,29,31,37,47,59,71]",5,35,2,0.692307692308,false
53,7,"[53,43,73,7,11,13,17,19,79,29,67,37,47,61,71]",3,30,3,0.854545454545,false
54,6,"[2,73,5,79,61,13,17,19,53,29,31,41,47,43,37]",5,46,13,0.765625,false
55,4,"[2,3,61,7,79,13,17,19,23,29,53,41,37,59,71]",4,45,12,0.607142857143,false
56,1,"[2,3,5,7,11,13,17,19,23,29,31,41,47,59,79]",4,33,0,0,true
57,5,"[37,3,79,7,73,13,17,19,67,29,31,41,47,43,71]",5,29,4,0.68085106383,false
58,2,"[2,3,5,43,11,13,17,19,67,29,31,41,47,59,71]",4,26,7,0.361111111111,false
59,2,"[2,3,5,7,11,13,17,19,23,29,31,79,67,59,71]",2,29,4,0.277777777778,false
60,2,"[67,3,5,7,11,13,17,19,23,29,31,41,47,59,79]",4,27,6,0.235294117647,false
61,5,"[2,3,5,7,37,13,79,19,23,53,31,61,73,59,71]",4,36,3,0.789473684211,false
62,3,"[2,3,5,7,11,61,43,19,23,29,31,41,47,59,37]",3,33,0,0.565217391304,false
63,3,"[2,3,5,7,11,13,17,19,23,53,31,41,37,43,71]",3,39,6,0.434782608696,false
64,2,"[2,3,5,7,11,13,17,19,23,53,31,41,79,59,71]",3,33,0,0.35,false
65,3,"[67,3,5,53,11,13,17,19,23,29,37,41,47,59,71]",3,33,0,0.625,false
66,5,"[79,3,5,43,11,13,17,19,37,29,67,41,47,61,71]",3,33,0,0.65306122449,false
67,7,"[2,43,79,7,61,13,17,67,53,29,31,37,47,73,71]",4,36,3,0.830508474576,false
68,1,"[2,3,5,7,11,13,17,19,23,67,31,41,47,59,71]",3,28,5,0.257142857143,false
69,2,"[2,3,5,79,11,13,43,19,23,29,31,41,47,59,71]",4,21,12,0.457142857143,false
70,2,"[2,73,5,7,11,13,17,19,23,53,31,41,47,59,71]",4,30,3,0.568181818182,false
71,7,"[37,43,73,67,11,13,17,61,53,79,31,41,47,59,71]",5,25,8,0.945454545455,false
72,2,"[2,3,5,7,11,73,17,19,23,29,31,61,47,59,71]",4,32,1,0.555555555556,true
73,6,"[67,37,5,43,11,13,61,19,23,73,31,41,47,53,71]",4,26,7,0.88679245283,false
74,2,"[2,3,5,7,11,13,17,19,23,29,31,41,47,61,79]",3,41,8,0.19512195122,false
75,7,"[2,79,5,7,67,13,73,53,61,29,43,41,47,37,71]",3,45,12,0.761904761905,false
76,1,"[2,3,5,7,11,13,17,79,23,29,31,41,47,59,71]",5,32,1,0.0882352941176,false
77,2,"[2,3,43,7,11,13,17,19,23,29,31,37,47,59,71]",4,26,7,0.487179487179,false
78,4,"[2,3,5,43,11,13,17,19,61,29,67,41,47,59,53]",3,40,7,0.54,false
79,2,"[53,37,5,7,11,13,17,19,23,29,31,41,47,59,71]",4,30,3,0.568181818182,false
80,4,"[2,67,5,7,11,79,17,19,23,29,31,43,47,59,37]",4,20,13,0.641025641026,false
81,3,"[2,3,5,7,11,61,17,19,23,67,31,41,47,43,71]",3,28,5,0.512195121951,false
82,4,"[2,3,5,7,11,79,73,19,23,29,31,41,53,37,71]",2,39,6,0.615384615385,false
83,3,"[53,3,5,7,11,13,17,19,23,29,61,41,47,79,71]",3,40,7,0.479166666667,false
84,7,"[37,67,5,73,11,13,61,19,23,29,31,79,53,43,71]",4,26,7,0.88679245283,false
85,5,"[2,3,5,7,73,13,67,53,23,29,61,43,47,59,71]",4,37,4,0.727272727273,false
86,3,"[2,3,5,7,11,37,79,19,23,73,31,41,47,59,71]",4,25,8,0.651162790698,false
87,3,"[2,3,5,43,11,13,17,19,23,29,31,41,47,53,67]",3,33,0,0.390243902439,false
88,5,"[2,61,43,7,11,13,17,53,23,29,73,41,47,59,37]",4,44,11,0.737704918033,false
89,3,"[2,53,5,7,11,13,37,19,23,29,31,41,47,61,71]",3,38,5,0.634615384615,false
90,1,"[2,3,5,7,61,13,17,19,23,29,31,41,47,59,71]",5,38,5,0.268292682927,false
91,1,"[2,3,5,7,11,13,17,19,23,29,53,41,47,59,71]",4,39,6,0.2,false
92,7,"[61,3,5,43,11,13,17,19,67,29,31,73,53,79,37]",5,38,5,0.796610169492,false
93,6,"[61,73,5,7,11,37,79,53,23,29,31,41,47,43,71]",4,29,4,0.851851851852,false
94,2,"[2,3,73,7,11,13,17,19,23,61,31,41,47,59,71]",4,32,1,0.555555555556,true
95,7,"[73,67,5,7,61,13,17,19,37,79,31,53,47,43,71]",5,28,5,0.890909090909,false
96,6,"[2,3,5,79,43,73,67,19,23,29,53,41,61,59,71]",4,32,1,0.796296296296,true
97,7,"[67,37,73,53,11,43,17,19,61,29,31,41,47,79,71]",5,25,8,0.925925925926,false
98,4,"[2,3,5,7,11,13,17,19,23,67,53,41,47,37,61]",3,47,14,0.545454545455,false
99,1,"[37,3,5,7,11,13,17,19,23,29,31,41,47,59,71]",4,32,1,0.333333333333,true
